,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,start_order
5212,2024-08-02T17:54:13+02:00,GLFMSTROKE------------FNL-000200--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 2,Round 2,FINISHED,M,Golf,GLF,Le Golf National,1889030,OLESEN Thorbjorn,Person,DEN,Denmark,11.0,68,STROKES,,34
5213,2024-08-02T17:54:13+02:00,GLFMSTROKE------------FNL-000200--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 2,Round 2,FINISHED,M,Golf,GLF,Le Golf National,1951700,CLARK Wyndham,Person,USA,United States,11.0,68,STROKES,,43
5214,2024-08-02T17:54:13+02:00,GLFMSTROKE------------FNL-000200--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 2,Round 2,FINISHED,M,Golf,GLF,Le Golf National,1961406,MATSUYAMA Hideki,Person,JPN,Japan,11.0,68,STROKES,,44
5215,2024-08-02T17:54:13+02:00,GLFMSTROKE------------FNL-000200--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 2,Round 2,FINISHED,M,Golf,GLF,Le Golf National,1941773,DAY Jason,Person,AUS,Australia,11.0,68,STROKES,,47
5216,2024-08-02T17:54:13+02:00,GLFMSTROKE------------FNL-000200--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 2,Round 2,FINISHED,M,Golf,GLF,Le Golf National,1572181,KIM Tom,Person,KOR,Korea,11.0,68,STROKES,,48
5217,2024-08-02T17:54:13+02:00,GLFMSTROKE------------FNL-000200--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 2,Round 2,FINISHED,M,Golf,GLF,Le Golf National,1903732,MANASSERO Matteo,Person,ITA,Italy,19.0,69,STROKES,,3
5218,2024-08-02T17:54:13+02:00,GLFMSTROKE------------FNL-000200--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 2,Round 2,FINISHED,M,Golf,GLF,Le Golf National,1898581,PUIG David,Person,ESP,Spain,19.0,69,STROKES,,6
5219,2024-08-02T17:54:13+02:00,GLFMSTROKE------------FNL-000200--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 2,Round 2,FINISHED,M,Golf,GLF,Le Golf National,1897777,van ROOYEN Erik,Person,RSA,South Africa,19.0,69,STROKES,,7
5220,2024-08-02T17:54:13+02:00,GLFMSTROKE------------FNL-000200--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 2,Round 2,FINISHED,M,Golf,GLF,Le Golf National,1909144,YU Kevin,Person,TPE,Chinese Taipei,19.0,69,STROKES,,9
5221,2024-08-02T17:54:13+02:00,GLFMSTROKE------------FNL-000200--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 2,Round 2,FINISHED,M,Golf,GLF,Le Golf National,1536368,SHARMA Shubhankar,Person,IND,India,19.0,69,STROKES,,22
