,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
12898,2024-08-03T12:52:12+02:00,BKBWTEAM5-------------GPA-000500--,BKBWTEAM5,Women,Women's Group Phase - Group A,Group Phase - Group A,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---CHN01,People's Republic of China,Team,CHN,China,80,POINTS,W,1
12899,2024-08-03T12:52:12+02:00,BKBWTEAM5-------------GPA-000500--,BKBWTEAM5,Women,Women's Group Phase - Group A,Group Phase - Group A,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---PUR01,Puerto Rico,Team,PUR,Puerto Rico,58,POINTS,L,2
3482,2024-08-03T15:22:42+02:00,BKBWTEAM5-------------GPA-000600--,BKBWTEAM5,Women,Women's Group Phase - Group A,Group Phase - Group A,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---SRB01,Serbia,Team,SRB,Serbia,62,POINTS,L,1
3483,2024-08-03T15:22:42+02:00,BKBWTEAM5-------------GPA-000600--,BKBWTEAM5,Women,Women's Group Phase - Group A,Group Phase - Group A,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---ESP01,Spain,Team,ESP,Spain,70,POINTS,W,2
1959,2024-08-04T12:48:53+02:00,BKBWTEAM5-------------GPC-000500--,BKBWTEAM5,Women,Women's Group Phase - Group C,Group Phase - Group C,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---JPN01,Japan,Team,JPN,Japan,58,POINTS,L,1
1960,2024-08-04T12:48:53+02:00,BKBWTEAM5-------------GPC-000500--,BKBWTEAM5,Women,Women's Group Phase - Group C,Group Phase - Group C,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---BEL01,Belgium,Team,BEL,Belgium,85,POINTS,W,2
10549,2024-08-04T15:24:58+02:00,BKBWTEAM5-------------GPB-000500--,BKBWTEAM5,Women,Women's Group Phase - Group B,Group Phase - Group B,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---CAN01,Canada,Team,CAN,Canada,70,POINTS,L,1
10550,2024-08-04T15:24:58+02:00,BKBWTEAM5-------------GPB-000500--,BKBWTEAM5,Women,Women's Group Phase - Group B,Group Phase - Group B,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---NGR01,Nigeria,Team,NGR,Nigeria,79,POINTS,W,2
8192,2024-08-04T18:54:44+02:00,BKBWTEAM5-------------GPC-000600--,BKBWTEAM5,Women,Women's Group Phase - Group C,Group Phase - Group C,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---GER01,Germany,Team,GER,Germany,68,POINTS,L,1
8193,2024-08-04T18:54:44+02:00,BKBWTEAM5-------------GPC-000600--,BKBWTEAM5,Women,Women's Group Phase - Group C,Group Phase - Group C,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---USA01,United States of America,Team,USA,United States,87,POINTS,W,2
6342,2024-08-04T22:55:54+02:00,BKBWTEAM5-------------GPB-000600--,BKBWTEAM5,Women,Women's Group Phase - Group B,Group Phase - Group B,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---AUS01,Australia,Team,AUS,Australia,79,POINTS,W,1
6343,2024-08-04T22:55:54+02:00,BKBWTEAM5-------------GPB-000600--,BKBWTEAM5,Women,Women's Group Phase - Group B,Group Phase - Group B,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---FRA01,France,Team,FRA,France,72,POINTS,L,2
